,open,high,low,close,volume,volume_from,tradecount
count,525517.0,525517.0,525517.0,525517.0,525517.0,525517.0,525517.0
mean,-1.124067934627266e-15,7.961066203672707e-16,5.313146357668524e-16,1.2131972627770799e-15,6.572206284445022e-16,-5.603033007476171e-16,-1.2514882605501797e-15
std,1.0000009514453645,1.0000009514453643,1.0000009514453647,1.0000009514453645,1.0000009514453645,1.0000009514453643,1.000000951445364
min,-2.090640312201573,-2.091099802085275,-2.090954843478704,-2.0906761041299835,-2.51993990298393,-10.08626631970149,-5.912193806224998
25%,-0.4899169219104014,-0.4901301411121096,-0.4896885919253424,-0.48992321511837317,-0.739830719748319,-0.6975006398883858,-0.7452216557027999
50%,-0.18454195356265846,-0.1841630920154176,-0.18472978784501404,-0.184558656973243,-0.14868574817055846,-0.057689615531180294,-0.24396181297769162
75%,0.2519906890339436,0.2512573074912404,0.25270912655175826,0.251983885306349,0.7198031778921044,0.7059977388228881,0.6919565957653309
max,2.7002927752020582,2.7004741092271094,2.693216157547326,2.70028428675491,4.065828822438151,3.9717229390502147,4.237073776931454
